id,wave,track,part,section,subsubject,domain,topic,item_archetype,cognitive_demand,difficulty,access,language,stimulus_id,stem,choice_A,choice_B,choice_C,choice_D,choice_E,correct_choice,rationale,solution_steps,high_yield_takeaway,estimated_time_seconds,calculator_policy,diagram_required,originality_check,accuracy_review,status
DOST-W1-019,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,valid conclusions,VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,Some metals are magnetic. All magnetic materials attract iron under suitable conditions. Which statement must be true?,Some metals can attract iron under suitable conditions.,All metals are magnetic.,Only metals attract iron.,No nonmetal is magnetic.,,A,The metals that are magnetic are included among materials that attract iron under suitable conditions.,,Do not reverse a conditional statement unless the converse is explicitly supported.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-020,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,valid conclusions,VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,All members of Team A submitted a project. Lira submitted a project. What can be concluded?,Lira is a member of Team A.,Lira may or may not be a member of Team A.,Lira is not a member of Team A.,Only Team A submitted projects.,,B,"Submitting a project is necessary for Team A members, but the premise does not say that only Team A members submitted.",,Do not reverse a conditional statement unless the converse is explicitly supported.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-021,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,valid conclusions,VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,"If the alarm rings, the guard checks the gate. The guard did not check the gate. Which conclusion is logically valid?",The alarm did not ring.,The alarm rang quietly.,The guard was absent.,The gate was already open.,,A,"By contraposition, if checking the gate did not occur, then the stated sufficient condition—the alarm ringing—did not occur.",,Do not reverse a conditional statement unless the converse is explicitly supported.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-022,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,valid conclusions,VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,Some scholarship applicants are varsity athletes. No varsity athlete is exempt from the medical examination. Which conclusion follows?,Some scholarship applicants are not exempt from the medical examination.,All applicants are varsity athletes.,No applicant is exempt from any requirement.,All nonexempt applicants are athletes.,,A,The applicants who are varsity athletes are included among those who are not exempt from the medical examination.,,Do not reverse a conditional statement unless the converse is explicitly supported.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-023,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,valid conclusions,VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,All efficient machines reduce wasted energy. Machine P reduces wasted energy. Which conclusion is justified?,Machine P is efficient.,"Machine P may be efficient, but the premise is insufficient to prove it.",Machine P is inefficient.,Only Machine P reduces wasted energy.,,B,"Reducing wasted energy is a property of efficient machines, but other machines could also reduce wasted energy.",,Do not reverse a conditional statement unless the converse is explicitly supported.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-024,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,valid conclusions,VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,No acidic solution has pH greater than 7. Solution Q has pH 9. Which conclusion must be true?,Solution Q is not acidic.,Solution Q is neutral.,Solution Q contains no hydrogen ions.,All basic solutions have pH 9.,,A,"A pH of 9 is greater than 7, so Q cannot belong to the class of acidic solutions.",,Do not reverse a conditional statement unless the converse is explicitly supported.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-025,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR4 — Ordering and Comparative Logic,ordering constraints,VR-LOG,Multi-step Application,Difficult,Free,English,,Mina scored higher than Paolo but lower than Rafi. Sela scored lower than Paolo. Who scored highest?,Mina,Paolo,Rafi,Sela,,C,The order is Rafi > Mina > Paolo > Sela.,,Convert every statement into a consistent order or position diagram.,65,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-026,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR4 — Ordering and Comparative Logic,ordering constraints,VR-LOG,Multi-step Application,Difficult,Premium,English,,Tank A contains more water than Tank B. Tank C contains less than Tank A but more than Tank B. Which ordering is correct?,A > C > B,C > A > B,A > B > C,B > C > A,,A,"C is between A and B, so A > C > B.",,Convert every statement into a consistent order or position diagram.,65,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-027,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR4 — Ordering and Comparative Logic,ordering constraints,VR-LOG,Multi-step Application,Difficult,Premium,English,,J is older than K. L is younger than K. M is older than J. Who is the youngest?,J,K,L,M,,C,"M > J > K > L, so L is youngest.",,Convert every statement into a consistent order or position diagram.,65,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-028,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR4 — Ordering and Comparative Logic,ordering constraints,VR-LOG,Multi-step Application,Difficult,Premium,English,,Book P is thicker than Book Q. Book R is thinner than Book S. Book Q is thicker than Book S. Which book is thickest?,P,Q,R,S,,A,"P > Q > S > R, so P is thickest.",,Convert every statement into a consistent order or position diagram.,65,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-029,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR4 — Ordering and Comparative Logic,ordering constraints,VR-LOG,Multi-step Application,Difficult,Premium,English,,"City X is east of City Y. City Z is north of City X. From City Y, in which general direction is City Z?",northwest,northeast,southeast,southwest,,B,"Move east from Y to X, then north to Z; Z is northeast of Y.",,Convert every statement into a consistent order or position diagram.,65,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-030,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR4 — Ordering and Comparative Logic,ordering constraints,VR-LOG,Multi-step Application,Difficult,Premium,English,,Ana finishes before Ben. Carlo finishes after Dana but before Ana. Who finishes first?,Ana,Ben,Carlo,Dana,,D,"Dana finishes before Carlo, who finishes before Ana, who finishes before Ben.",,Convert every statement into a consistent order or position diagram.,65,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-031,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR5 — Inference and Argument Analysis,evidence and assumptions,VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,A school plans to reduce paper use by requiring digital submissions. Which evidence best supports the plan?,Students prefer blue folders.,"The school used 80,000 sheets for assignments last year, and most students have reliable device access.",Some teachers write comments by hand.,The library closes at 5 p.m.,,B,The strongest support addresses both the scale of paper use and the feasibility of digital submission.,,Prefer conclusions that match the strength and limits of the evidence.,90,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-032,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR5 — Inference and Argument Analysis,evidence and assumptions,VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,A farmer claims that a new fertilizer caused taller plants. Which additional information is most necessary?,The color of the fertilizer bag.,Whether similar plants without the fertilizer were grown under the same conditions.,The farmer's favorite crop.,The distance from the farm to the market.,,B,A comparison group under the same conditions is needed to isolate the fertilizer's effect.,,Prefer conclusions that match the strength and limits of the evidence.,90,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-033,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR5 — Inference and Argument Analysis,evidence and assumptions,VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,A report concludes that reading before bed improves memory because students who read at night scored higher. Which fact most weakens the conclusion?,The high-scoring students also slept longer and studied more overall.,The students read printed books.,The test was given in the morning.,Some books had pictures.,,A,Sleep duration and total study time are confounding variables that could explain the score difference.,,Prefer conclusions that match the strength and limits of the evidence.,90,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-034,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR5 — Inference and Argument Analysis,evidence and assumptions,VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,"Which statement is an assumption behind the claim, “Adding more bicycle racks will encourage more students to cycle to school”?",Lack of bicycle parking discourages at least some students from cycling.,All students own bicycles.,Cycling is faster than every other mode of travel.,The school will remove the parking lot.,,A,The proposal can encourage cycling only if insufficient parking is one barrier.,,Prefer conclusions that match the strength and limits of the evidence.,90,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-035,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR5 — Inference and Argument Analysis,evidence and assumptions,VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,"Four seedlings received different amounts of light, and the one receiving the most light grew tallest. Which conclusion is most cautious?",More light always causes unlimited growth.,"Under the tested conditions, greater light exposure was associated with taller growth.",Light was the only factor affecting growth.,All plant species respond identically.,,B,"The result supports an association within the tested conditions, not a universal causal claim.",,Prefer conclusions that match the strength and limits of the evidence.,90,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-036,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR6 — Verbal Classification and Sequences,classification and sequence,VR-LOG,Single-step Application,Easy,Premium,English,,Which word does not belong with the others?,evaporation,condensation,precipitation,photosynthesis,,D,The first three are processes in the water cycle; photosynthesis is not.,,Look for one consistent grouping or progression rule.,50,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-037,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR6 — Verbal Classification and Sequences,classification and sequence,VR-LOG,Single-step Application,Easy,Premium,English,,Which pair has a different relationship?,bird : flock,fish : school,lion : pride,tree : forest,,D,The first three pair an animal with its collective group; tree : forest is a plant-to-ecosystem grouping.,,Look for one consistent grouping or progression rule.,50,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-038,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR6 — Verbal Classification and Sequences,classification and sequence,VR-LOG,Single-step Application,Moderate,Premium,English,,"Complete the sequence: B, E, H, K, ____",M,N,O,P,,B,"Each letter advances by three positions: B, E, H, K, N.",,Look for one consistent grouping or progression rule.,50,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-039,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR6 — Verbal Classification and Sequences,classification and sequence,VR-LOG,Single-step Application,Moderate,Premium,English,,"Complete the sequence: AZ, BY, CX, ____",DW,DX,EV,DZ,,A,"The first letter moves forward A, B, C, D while the second moves backward Z, Y, X, W.",,Look for one consistent grouping or progression rule.,50,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-040,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR6 — Verbal Classification and Sequences,classification and sequence,VR-LOG,Single-step Application,Moderate,Premium,English,,Which set is arranged from broadest category to most specific member?,organism → animal → mammal → dolphin,dolphin → mammal → animal → organism,animal → organism → dolphin → mammal,mammal → dolphin → organism → animal,,A,"Each term narrows the category: organism, animal, mammal, dolphin.",,Look for one consistent grouping or progression rule.,50,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-041,1,Undergraduate,Part II — Power Test,English,English,ENG1 — Error Identification,grammar and usage,ENG-ERR,Single-step Application,Moderate,Free,English,,Which underlined segment contains an error? The research team **have completed** the field survey **and is preparing** the final report **for submission** **next week**.,have completed,and is preparing,for submission,next week,,A,"The collective noun 'team' is treated as singular in this sentence, so 'has completed' is needed. The second verb 'is preparing' is already singular.",,"Locate the true grammatical subject and check agreement, tense, comparison, and modifier placement.",60,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-042,1,Undergraduate,Part II — Power Test,English,English,ENG1 — Error Identification,grammar and usage,ENG-ERR,Single-step Application,Moderate,Free,English,,Which underlined segment contains an error? Each of the applicants **were given** a numbered envelope **before entering** the testing room **this morning**.,were given,before entering,the testing room,this morning,,A,"The subject is 'Each,' which is singular; use 'was given.'",,"Locate the true grammatical subject and check agreement, tense, comparison, and modifier placement.",60,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-043,1,Undergraduate,Part II — Power Test,English,English,ENG1 — Error Identification,grammar and usage,ENG-ERR,Single-step Application,Moderate,Free,English,,Which underlined segment contains an error? The student **who solved the problem** explained the method **more clearly than** any member **in her group**.,who solved the problem,explained the method,more clearly than,any member in her group,,D,The comparison should exclude the student herself: 'than any other member in her group.',,"Locate the true grammatical subject and check agreement, tense, comparison, and modifier placement.",60,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-044,1,Undergraduate,Part II — Power Test,English,English,ENG1 — Error Identification,grammar and usage,ENG-ERR,Single-step Application,Moderate,Free,English,,Which underlined segment contains an error? Neither the calculator nor the rulers **was placed** inside the bag **after the activity** **ended**.,Neither the calculator nor the rulers,was placed,inside the bag,after the activity ended,,B,"With neither...nor, the verb agrees with the nearer subject 'rulers,' so 'were placed' is required.",,"Locate the true grammatical subject and check agreement, tense, comparison, and modifier placement.",60,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-045,1,Undergraduate,Part II — Power Test,English,English,ENG1 — Error Identification,grammar and usage,ENG-ERR,Single-step Application,Moderate,Premium,English,,Which underlined segment contains an error? The committee recommended **that every participant submits** the form **before Friday** to avoid **a delay**.,that every participant submits,before Friday,to avoid,a delay,,A,"After 'recommended that,' formal English uses the base form: 'that every participant submit.'",,"Locate the true grammatical subject and check agreement, tense, comparison, and modifier placement.",60,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-046,1,Undergraduate,Part II — Power Test,English,English,ENG1 — Error Identification,grammar and usage,ENG-ERR,Single-step Application,Moderate,Premium,English,,"Which underlined segment contains an error? Having finished the experiment, **the laboratory table was cleaned** by Mara **before she left**.",Having finished the experiment,the laboratory table was cleaned,by Mara,before she left,,B,"The introductory phrase should modify Mara, not the table: 'Having finished the experiment, Mara cleaned the laboratory table.'",,"Locate the true grammatical subject and check agreement, tense, comparison, and modifier placement.",60,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-047,1,Undergraduate,Part II — Power Test,English,English,ENG1 — Error Identification,grammar and usage,ENG-ERR,Single-step Application,Moderate,Premium,English,,Which underlined segment contains an error? The information from the sensors **were recorded** every five minutes **throughout the night**.,The information,were recorded,every five minutes,throughout the night,,B,"'Information' is uncountable and singular, so use 'was recorded.'",,"Locate the true grammatical subject and check agreement, tense, comparison, and modifier placement.",60,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-048,1,Undergraduate,Part II — Power Test,English,English,ENG1 — Error Identification,grammar and usage,ENG-ERR,Single-step Application,Moderate,Premium,English,,"Which underlined segment contains an error? If the weather **will improve**, the team **will continue** the coastal survey tomorrow.",If the weather,will improve,the team,will continue,,B,"In a real future condition, the if-clause normally uses the simple present: 'If the weather improves.'",,"Locate the true grammatical subject and check agreement, tense, comparison, and modifier placement.",60,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-049,1,Undergraduate,Part II — Power Test,English,English,ENG1 — Error Identification,grammar and usage,ENG-ERR,Single-step Application,Moderate,Premium,English,,Which underlined segment contains an error? The teacher asked whether the students **had reviewed** the chapter **and has completed** their notes **before class**.,had reviewed,the chapter,and has completed,before class,,C,The coordinated verbs should have parallel tense: 'had reviewed ... and had completed.',,"Locate the true grammatical subject and check agreement, tense, comparison, and modifier placement.",60,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-050,1,Undergraduate,Part II — Power Test,English,English,ENG1 — Error Identification,grammar and usage,ENG-ERR,Single-step Application,Moderate,Premium,English,,Which underlined segment contains an error? One of the reasons **for the delay were** the damaged cables **near the entrance**.,One of the reasons,for the delay were,the damaged cables,near the entrance,,B,"The subject is 'One,' so the verb must be singular: 'was.'",,"Locate the true grammatical subject and check agreement, tense, comparison, and modifier placement.",60,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-051,1,Undergraduate,Part II — Power Test,English,English,ENG3 — Vocabulary and Word Relationships,vocabulary in context,ENG-EQV,Recognition/Recall,Easy,Free,English,,The word **feasible** is closest in meaning to:,practical,expensive,immediate,temporary,,A,Feasible means possible and practical to carry out.,,"Use context and word parts, then test the choice in the sentence.",40,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-052,1,Undergraduate,Part II — Power Test,English,English,ENG3 — Vocabulary and Word Relationships,vocabulary in context,ENG-EQV,Recognition/Recall,Easy,Free,English,,The word **mitigate** is closest in meaning to:,intensify,measure,reduce,predict,,C,To mitigate is to make something less severe.,,"Use context and word parts, then test the choice in the sentence.",40,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-053,1,Undergraduate,Part II — Power Test,English,English,ENG3 — Vocabulary and Word Relationships,vocabulary in context,ENG-EQV,Recognition/Recall,Easy,Premium,English,,"The statement was **ambiguous**, so the class asked for clarification. Ambiguous means:",brief,unclear,incorrect,technical,,B,Ambiguous language can be understood in more than one way and is therefore unclear.,,"Use context and word parts, then test the choice in the sentence.",40,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-054,1,Undergraduate,Part II — Power Test,English,English,ENG3 — Vocabulary and Word Relationships,vocabulary in context,ENG-EQV,Recognition/Recall,Moderate,Premium,English,,Which pair does NOT have nearly the same meaning?,concise — brief,vital — essential,scarce — abundant,rapid — swift,,C,"Scarce means limited, while abundant means plentiful; they are opposites.",,"Use context and word parts, then test the choice in the sentence.",40,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-055,1,Undergraduate,Part II — Power Test,English,English,ENG3 — Vocabulary and Word Relationships,vocabulary in context,ENG-EQV,Recognition/Recall,Moderate,Premium,English,,The engineer gave a **candid** assessment of the design. Candid most nearly means:,honest,lengthy,secret,favorable,,A,"Candid means direct and honest, even when the assessment is not favorable.",,"Use context and word parts, then test the choice in the sentence.",40,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-056,1,Undergraduate,Part II — Power Test,English,English,ENG3 — Vocabulary and Word Relationships,vocabulary in context,ENG-EQV,Recognition/Recall,Moderate,Premium,English,,"Because the evidence was **inconclusive**, the researchers:",proved the claim,could not reach a firm conclusion,repeated a known fact,ignored all observations,,B,Inconclusive evidence is insufficient for a firm conclusion.,,"Use context and word parts, then test the choice in the sentence.",40,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-057,1,Undergraduate,Part II — Power Test,English,English,ENG3 — Vocabulary and Word Relationships,vocabulary in context,ENG-EQV,Recognition/Recall,Moderate,Premium,English,,Which word best completes the sentence? The instructions were so _____ that two groups interpreted them differently.,precise,explicit,vague,concise,,C,Vague instructions lack enough clarity and can lead to different interpretations.,,"Use context and word parts, then test the choice in the sentence.",40,No calculator,False,Passed,Passed,Approved for Distribution
