id,wave,track,part,section,subsubject,domain,topic,item_archetype,cognitive_demand,difficulty,access,language,stimulus_id,stem,choice_A,choice_B,choice_C,choice_D,correct_choice,rationale,solution_steps,high_yield_takeaway,estimated_time_seconds,calculator_policy,diagram_required,originality_check,accuracy_review,status
DOST-W4-040,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR5 — Inference and Argument Analysis,"evidence, confounding, and assumptions",VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,"Which assumption is required for the proposal, “Installing bicycle racks will increase bicycle commuting”?",Every employee owns a bicycle.,Weather never affects travel.,Racks eliminate traffic.,Lack of secure parking discourages at least some potential cyclists.,D,The intervention can change behavior only if parking availability is a relevant barrier.,,Prefer controlled comparisons and conclusions no broader than the evidence.,95,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-041,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR5 — Inference and Argument Analysis,"evidence, confounding, and assumptions",VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,A pilot filter removed 92% of sediment in two small tanks. Which conclusion is most responsible?,"The filter performed well in the pilot conditions, but larger and longer trials are needed.",The filter will remove every pollutant in all rivers.,The filter is permanently failure-proof.,No alternative design should be tested.,A,The limited evidence supports a qualified conclusion.,,Prefer controlled comparisons and conclusions no broader than the evidence.,95,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-042,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR5 — Inference and Argument Analysis,"evidence, confounding, and assumptions",VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,Which evidence most strongly supports adding a pedestrian signal near a school?,The intersection has four corners.,Repeated observations show long crossing delays and frequent unsafe gaps during arrival hours.,The school building is painted white.,Some vehicles are blue.,B,The evidence directly documents the problem the signal addresses.,,Prefer controlled comparisons and conclusions no broader than the evidence.,95,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-043,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR5 — Inference and Argument Analysis,"evidence, confounding, and assumptions",VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,A class with standing desks reported less fatigue than another class. What would most strengthen the conclusion that the desks caused the difference?,A larger poster about standing,A survey of only the standing-desk class,Comparable classes randomly assigned to desk type with the same schedule and workload,A different teacher and subject in each class,C,Random assignment and controlled conditions reduce confounding.,,Prefer controlled comparisons and conclusions no broader than the evidence.,95,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-044,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR5 — Inference and Argument Analysis,"evidence, confounding, and assumptions",VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,A city moves permit applications online. Which condition is most important to avoid excluding residents?,Require a high-end computer.,Remove all phone support.,Use only technical language.,Provide assisted or offline options for people without reliable digital access.,D,Equitable access requires alternatives to the online channel.,,Prefer controlled comparisons and conclusions no broader than the evidence.,95,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-045,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR5 — Inference and Argument Analysis,"evidence, confounding, and assumptions",VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,Which finding best supports the claim that shade trees reduce cooling demand?,Similar buildings with mature shade trees used less afternoon air-conditioning energy during matched weather.,Trees have green leaves.,Cooling systems use electricity.,Some buildings have windows.,A,The matched energy comparison directly supports the claim.,,Prefer controlled comparisons and conclusions no broader than the evidence.,95,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-046,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR5 — Inference and Argument Analysis,"evidence, confounding, and assumptions",VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,A training study analyzes only participants who attended every session. Which problem may result?,The sample becomes randomly assigned.,Completion bias may exaggerate effectiveness.,All measurement error disappears.,The treatment becomes blinded.,B,Completers may differ systematically from those who dropped out.,,Prefer controlled comparisons and conclusions no broader than the evidence.,95,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-047,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR7 — Short-Passage Reasoning,critical interpretation,VR-PASS,Analysis/Evaluation,Moderate,Free,English,W4-VRPASS-001,Which sentence best summarizes the rain-barrel passage?,The sensor project failed completely.,Debris always predicts flooding.,The system was improved after a practical source of error was identified.,Maintenance became unnecessary.,C,The project retained its benefit while addressing a discovered limitation.,,Choose the conclusion that respects the passage's evidence and limits.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-048,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR7 — Short-Passage Reasoning,critical interpretation,VR-PASS,Analysis/Evaluation,Moderate,Premium,English,W4-VRPASS-002,Which property described the original measurements?,high accuracy but low precision,neither precision nor accuracy,perfect validity,high precision but low accuracy,D,The values agreed with one another but not with the accepted value.,,Choose the conclusion that respects the passage's evidence and limits.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-049,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR7 — Short-Passage Reasoning,critical interpretation,VR-PASS,Analysis/Evaluation,Moderate,Premium,English,W4-VRPASS-003,Why is the library's limited trial a reasonable decision?,It uses evidence to target the period of greatest likely benefit.,It assumes attendance is constant.,It rejects all student requests.,It proves late hours are unnecessary.,A,The pilot matches the observed pattern of demand.,,Choose the conclusion that respects the passage's evidence and limits.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-050,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR7 — Short-Passage Reasoning,critical interpretation,VR-PASS,Analysis/Evaluation,Moderate,Premium,English,W4-VRPASS-004,Why should the town avoid attributing all improvement to the interventions?,Seawalls never work.,Storm characteristics also differed and could have affected damage.,Dunes increase every hazard.,Damage measurements are always invalid.,B,A changing external factor prevents a simple one-cause conclusion.,,Choose the conclusion that respects the passage's evidence and limits.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-051,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR7 — Short-Passage Reasoning,critical interpretation,VR-PASS,Analysis/Evaluation,Moderate,Premium,English,W4-VRPASS-005,Which design principle is illustrated by the revised laboratory schedule?,The shortest process is always optimal.,Checklists cause all delays.,Efficiency must be balanced with quality and safety constraints.,Cleanup is unrelated to laboratory work.,C,The final design optimizes more than speed.,,Choose the conclusion that respects the passage's evidence and limits.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-052,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR7 — Short-Passage Reasoning,critical interpretation,VR-PASS,Analysis/Evaluation,Difficult,Premium,English,W4-VRPASS-006,Why was standardization necessary?,Temperature has no units.,All sensors must be indoors.,Height never affects exposure.,Mounting conditions could otherwise confound location comparisons.,D,Different mounting conditions could create artificial differences.,,Choose the conclusion that respects the passage's evidence and limits.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-053,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR7 — Short-Passage Reasoning,critical interpretation,VR-PASS,Analysis/Evaluation,Difficult,Premium,English,W4-VRPASS-007,What reasoning step was most important?,Identifying and measuring hidden material differences,Assuming all compost was identical,Removing all comparison plots,Using the same rate regardless of composition,A,Supplier composition could explain the observed variation.,,Choose the conclusion that respects the passage's evidence and limits.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-054,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR7 — Short-Passage Reasoning,critical interpretation,VR-PASS,Analysis/Evaluation,Difficult,Premium,English,W4-VRPASS-008,Why is that question important?,Bulb type never affects energy use.,Different power demands could explain the runtime difference.,Battery life is independent of current.,One test always proves superiority.,B,A fair comparison requires equal loads.,,Choose the conclusion that respects the passage's evidence and limits.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-055,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR7 — Short-Passage Reasoning,critical interpretation,VR-PASS,Analysis/Evaluation,Difficult,Premium,English,W4-VRPASS-009,Why examine both factors?,Only one cause can ever matter.,Elevation does not affect water movement.,Several interacting causes may produce the same flood pattern.,Maps cannot guide investigation.,C,Flooding can reflect both topography and infrastructure.,,Choose the conclusion that respects the passage's evidence and limits.,85,No calculator,False,Passed,Passed,Approved for Distribution
